employee_id,branch_id,first_name,last_name,position,hire_date,salary,email
30,3,Angela,Hickman,Clerk,2018-03-02,27955.43,craig89@hotmail.com
31,4,Cole,Brown,Clerk,2025-02-03,76615.29,cohenjonathan@gmail.com
32,4,Joshua,Lucas,Teller,2017-12-05,42587.89,janetrujillo@long-taylor.com
33,1,Mark,Stevens,Manager,2019-01-15,93016.0,vicki76@adams.net
34,5,Donald,Schultz,Security,2019-06-02,36185.84,amymclaughlin@kelly.com
35,1,Christopher,Olsen,Assistant,2019-09-09,30628.62,thompsondonald@david-clark.com
36,1,Scott,Rodriguez,Teller,2023-03-21,73325.26,uatkins@johnson-jackson.biz
37,4,Laura,Thornton,Teller,2015-10-13,44809.38,matthewsthomas@gmail.com
38,1,Kimberly,Santiago,Manager,2019-07-30,85988.38,jpowell@hotmail.com
39,1,Roger,Hobbs,Teller,2016-04-18,52016.1,masonchristopher@oneill-smith.com
40,3,John,Rios,Security,2024-11-17,80390.51,cristian64@frost-miller.com
41,1,Jonathan,Anthony,Manager,2018-03-03,25725.42,michellerandolph@hudson.com
42,2,Larry,Benjamin,Clerk,2022-02-06,49649.56,bernard60@lopez-baker.biz
43,4,Jacob,Cook,Assistant,2017-12-28,45123.2,wcook@hotmail.com
44,1,Vincent,Gordon,Teller,2018-09-09,86122.32,samantha20@gmail.com
45,2,Rebecca,Davis,Manager,2017-09-17,55058.31,matthewcrawford@garza.com
46,4,Cynthia,Carpenter,Teller,2017-03-05,87678.13,smithmelissa@johnson-mercado.com
47,4,Glenn,Black,Security,2022-11-19,73663.49,susangonzales@james.net
48,2,Gregory,Cherry,Manager,2019-02-14,34938.37,stanleygregory@gmail.com
49,1,Autumn,Gonzalez,Clerk,2019-10-03,32778.48,joyceallen@hotmail.com
50,5,Michael,Cole,Security,2015-09-23,85169.86,danielle45@gmail.com
51,4,Heather,Sanchez,Clerk,2023-08-09,70849.24,waltonmitchell@gmail.com
52,3,Robert,Johnson,Assistant,2018-12-17,27161.22,kimberly40@gmail.com
53,2,Patricia,Combs,Security,2023-03-24,94029.85,ymontes@guerrero-smith.org
54,1,Thomas,Nolan,Security,2023-03-24,58051.59,jennifer22@cook.com
55,1,Victor,Coffey,Teller,2020-08-18,74123.02,summer63@king.org
56,1,Mindy,Cisneros,Assistant,2018-06-07,82564.65,jessicavargas@bush.info
57,5,Arthur,Friedman,Assistant,2016-01-10,41798.87,vphelps@sellers.com
58,3,Alyssa,Nicholson,Assistant,2020-12-19,64232.74,melissalindsey@scott.com
59,5,Stanley,Graham,Manager,2015-06-27,57463.59,michaelmurphy@peterson.net
60,2,Kimberly,Lara,Security,2022-09-18,50931.21,caldwellnicole@yahoo.com
61,4,Robin,Hughes,Clerk,2017-01-07,87927.48,reedkristi@walters.org
62,5,Andrea,Stokes,Assistant,2020-11-18,29092.46,petersonpatrick@mitchell-silva.com
63,2,Crystal,Williams,Assistant,2021-03-10,88663.42,john41@hall.com
64,4,Devon,Miller,Clerk,2017-12-07,30614.89,tblack@yahoo.com
65,4,Sarah,Brown,Teller,2019-06-26,43066.89,jharris@yahoo.com
66,3,Chad,Freeman,Manager,2019-07-15,63019.7,garciafelicia@hotmail.com
67,5,Erika,Johnson,Security,2022-11-20,55245.77,gordonjones@sanchez-jones.com
68,2,Douglas,York,Manager,2018-12-02,59432.09,barkerjames@martinez.com
69,5,Jacob,Cooke,Security,2022-08-20,31601.49,christine49@roberts.com
70,4,Morgan,Howell,Security,2024-11-07,48704.61,alison03@gmail.com
71,4,Randall,Andersen,Manager,2020-09-11,32698.25,jstone@yahoo.com
72,4,Stacey,Ramos,Manager,2018-12-01,66784.83,baldwinbrian@green-howe.com
73,1,Janice,Johnson,Manager,2023-03-05,84383.75,zachary78@yahoo.com
74,5,Tara,Sutton,Teller,2016-08-31,91758.32,martinnatalie@gmail.com
75,5,Kurt,Stuart,Clerk,2016-10-26,74094.7,djones@yahoo.com
76,4,Emily,Allen,Teller,2015-12-06,52250.69,djordan@gmail.com
77,1,Victoria,Davis,Clerk,2019-02-07,88323.81,megan64@goodwin-watson.com
78,3,Gregory,Pearson,Assistant,2015-10-25,82556.23,thompsonsandra@medina.com
79,5,David,Barker,Security,2023-08-12,78749.36,balljoy@yahoo.com
80,3,Debra,Hart,Security,2020-05-09,33551.75,rogerssue@shaw-garcia.com
81,2,Francisco,Richardson,Manager,2019-09-18,50601.78,shall@compton.com
82,3,David,Watts,Assistant,2017-12-17,64148.88,millerjose@gmail.com
83,1,Jerry,Butler,Manager,2024-11-28,92265.78,klineanthony@cooper.com
84,4,Heather,Torres,Clerk,2022-08-08,86637.9,woodkenneth@yahoo.com
85,4,Jason,Ford,Manager,2019-02-28,44071.7,ehudson@hotmail.com
86,2,George,Mejia,Clerk,2021-11-16,34055.94,wramsey@church.info
87,4,Carlos,Williams,Clerk,2022-04-04,59278.45,chase01@adams.com
88,2,Daniel,Crane,Teller,2022-05-10,33082.43,catherine91@yahoo.com
89,4,Joshua,Wheeler,Manager,2016-01-04,94496.99,rnielsen@gmail.com
90,5,Olivia,Weber,Manager,2022-07-11,82910.89,ejones@hotmail.com
91,4,David,Wallace,Security,2019-02-06,74384.25,vjackson@gmail.com
92,5,Tim,Garza,Clerk,2019-01-19,97289.11,waterskatie@hayes.net
93,1,Steven,Caldwell,Assistant,2018-05-19,80216.04,jennatorres@holden-gordon.net
94,5,George,Harris,Security,2018-03-30,87911.21,bishopmark@yahoo.com
95,4,Lauren,Stephens,Assistant,2017-11-30,83581.11,sarah12@gmail.com
96,2,Ricky,Pena,Assistant,2021-10-09,38023.77,james04@simpson.com
97,2,Aaron,Smith,Manager,2024-05-09,54055.42,guzmanashley@gmail.com
98,5,Beverly,King,Assistant,2018-04-08,91202.19,vcollins@butler-schmidt.com
99,5,Nicholas,Hester,Security,2015-08-31,56399.86,pkirby@walker.com
100,5,Jessica,Lewis,Clerk,2020-02-15,45519.69,goodmanmichaela@johnson.com
